text,x,y,z
From,-16.80807,-9.95277,-4.4162626
From,-16.80807,-9.95277,-4.4162626
To,-16.697369,-15.858332,-4.477152
Fishing,11.472998,8.063844,-6.72788
taken,-10.964742,19.307604,-0.97288775
Woman,0.9131083,-13.0286875,11.267663
Edward,24.510155,-14.735229,-2.6816952
sold,-7.573588,18.52471,-0.9520855
Moonlight,15.419949,1.672165,-15.369255
Mountainous,17.75698,13.8854685,-8.238866
SEGHERS,23.438406,10.757701,10.740127
Pictorialism,21.966038,11.0335245,-2.786932
Pictorialism,23.25691,11.533899,-3.8748395
photographic,14.850531,11.659717,-6.9887843
following,-19.64035,-3.9177794,12.342959
process,-1.4222177,21.934141,-10.222408
years,-4.946701,13.112498,-23.5879
rapidly,2.9706297,13.518244,15.255938
emergence,-1.4861922,27.01117,11.602704
Pictorialism,22.556202,9.926315,-4.023552
common,-1.6863786,-12.94849,19.176804
Ansel,11.432178,-15.111728,-2.3848243
Edward,24.510155,-14.735229,-2.6816952
Pepper,12.604959,-5.0658264,-4.5611944
Andreas,8.197243,-17.809973,-13.565412
Hiroshi,2.2034361,-23.585974,-28.587656
Theaters,14.588102,17.633926,24.77901
Theaters,15.681158,18.71292,26.448086
Theaters,15.681158,18.71292,26.448086
Theaters,15.681158,18.71292,26.448086
Theaters,13.415997,18.752573,26.36601
Ocean,2.6656244,4.30398,-25.682535
Bali,3.5987866,-9.804829,-17.561666
North,-10.184623,-4.0400667,-5.224656
Baltic,4.757158,-8.1618805,-18.324177
Aegean,5.559971,-6.870044,-18.910746
Cascade,-6.7556553,10.399133,-13.110799
Ligurian,6.345292,-5.585238,-19.465752
Atta,-6.9986186,7.0984726,-1.0159082
Superimposition,20.534096,22.360065,3.6129375
Superimposition,22.307045,22.50195,4.6243877
Superimposition,22.307045,22.50195,4.6243877
Superimposition,22.162193,21.293262,2.9793072
People,-0.45755565,-13.442256,11.51497
not,-29.046293,2.1011446,-1.6656692
making,-5.1897445,14.921793,-0.016990015
Hilla,3.6053092,-10.940366,-12.21045
Bernd19312007,5.6166773,-10.8881645,-9.306748
Hilla19342016,4.7855215,-10.840103,-10.441202
Dusseldorf,12.070919,-20.039553,-18.381794
æåè¿Li,-2.279851,-27.394491,-5.442847
æåè¿Li,-2.279851,-27.394491,-5.442847
Tomoko,-1.1475732,-20.548538,-28.923115
Tomoko,3.8584692,-23.353817,-32.026165
Tomoko,3.8584692,-23.353817,-32.026165
Tomoko,1.7131097,-19.066216,-33.46583
Tomoko,1.0119092,-20.88395,-32.533154
Tomoko,3.8584692,-23.353817,-32.026165
Tomoko,3.8584692,-23.353817,-32.026165
Tomoko,3.8584692,-23.353817,-32.026165
Tomoko,3.8584692,-23.353817,-32.026165
Hai,2.2447212,-10.95596,-13.55989
æ­·å²èè¨æ¶,-3.7876189,-31.365839,-4.464844
ZHANG,3.6519704,-20.707043,-2.327921
sars1html,-7.967055,-4.016421,-29.322763
å°æ±¤å±±,-4.458891,-29.50502,-3.798942
åä¸å±±äºº,-2.9991996,-29.577711,-3.1762757
om,-10.293683,-23.667437,-5.4624233
Micheal,17.17572,-23.495657,-0.98180807
introindexhtml,-8.0108795,-4.7590117,-28.232908
Klavs,11.3306265,-12.8383875,-13.806683
Klavs,12.058995,-12.252375,-12.905605
Beyond,-9.073023,-4.9107733,-3.3151243
Jerry,16.77482,-22.895031,6.077335
Jiang,3.467884,-19.414608,-2.6136942
CUI,-13.030844,-9.1279125,-18.443129
Enoch,27.809086,-9.618778,-7.583303
MIAO,1.3192409,-19.826855,-1.9582602
Eason,28.808535,-8.909943,-8.344798
Max,11.490672,-15.211321,6.762625
æ¨æ³³æ¢Yang,-2.9114172,-31.618826,-6.2273808
Enchanted,17.38175,-18.788527,30.044436
Enchanted,17.38175,-18.788527,30.044436
Enchanted,17.38175,-18.788527,30.044436
Enchanted,17.38175,-18.788527,30.044436
