text,x,y,z
Understanding,-5.5645323,-20.216545,-24.920683
Week,-17.783274,8.041997,30.961977
Dr,27.903765,25.49791,19.910013
chenyanghecuhkeduhk,-32.79445,-16.384365,7.692506
What,-16.556736,22.709742,-36.25499
Principles,33.05205,-18.239027,-21.304539
Course,16.921785,-4.1738496,4.322262
PART,-20.554224,10.257689,19.460981
What,-21.020494,21.817213,-31.251629
What,-16.556736,22.709742,-36.25499
How,4.2642207,30.850706,-25.810286
How,4.2642207,30.850706,-25.810286
What,-20.849718,28.692884,-19.153059
How,7.583525,27.139898,-23.988165
Holidays,-17.379217,1.8576496,29.923334
Choice,19.985962,5.447691,-16.172203
What,-13.19094,25.533659,-29.817291
At,-21.591444,17.080736,26.745428
decreasing,11.262485,10.676354,-5.112467
Twitter,7.532596,-24.31124,18.951239
What,-14.833681,22.089603,-33.34022
What,-20.849718,28.692884,-19.153059
Data,9.300082,-19.218084,33.663082
data,17.883724,-9.096159,34.87927
images,11.676086,-11.567276,1.1100079
numbers,-32.28737,-3.8664188,14.549874
graphic,15.756562,-11.05112,-0.2045839
What,-20.849718,28.692884,-19.153059
Visualization,11.918946,-17.069798,-9.850766
It,-40.606144,10.892657,6.58753
It,-19.326881,38.10493,-5.010717
Visualization,12.38934,-17.719975,-10.341058
different,-19.90445,-1.1198469,-14.8318205
Data,4.2029405,1.955394,40.477776
Information,-1.8831346,-19.444986,1.9485346
Scientific,-9.521835,-29.26099,-5.72099
Principles,2.3655772,-26.858377,-21.192999
It,-42.043293,15.79227,11.063105
What,-20.849718,28.692884,-19.153059
Data,4.2029405,1.955394,40.477776
Best,-20.553305,-9.6217575,-1.2930524
What,-20.849718,28.692884,-19.153059
Information,-1.4175291,-19.001036,2.0828693
representations,18.867414,-7.856835,-19.879967
Best,-19.849304,-9.7423115,-1.095532
Best,-20.553305,-9.6217575,-1.2930524
What,-10.2509575,19.602709,-32.543087
Scientific,-9.521835,-29.26099,-5.72099
physical,9.642263,-24.095308,-9.329913
For,0.04657165,41.952496,-10.066866
What,-20.849718,28.692884,-19.153059
Data,9.300082,-19.218084,33.663082
Data,9.300082,-19.218084,33.663082
facts,-3.9762387,16.754515,9.591498
What,-20.849718,28.692884,-19.153059
Data,9.300082,-19.218084,33.663082
Data,9.300082,-19.218084,33.663082
facts,-3.9762247,16.754627,9.591409
What,-20.849718,28.692884,-19.153059
Why,-2.6659393,15.474204,-38.56615
We,-33.60958,26.628677,8.202943
hardly,-13.302569,0.949565,-0.8783625
Despite,-11.873803,18.390179,-7.044363
resides,16.885296,-3.7027369,-25.405403
We,-33.60958,26.628677,8.202943
What,-20.849718,28.692884,-19.153059
Why,-1.898666,15.209299,-37.534737
What,-20.849718,28.692884,-19.153059
Why,-2.6659393,15.474204,-38.56615
Visualization,11.524858,-17.908388,-10.014339
Should,-15.750268,18.099108,2.9336283
Should,-16.382202,18.497206,2.9258735
Should,-16.27812,17.953058,2.4088273
What,-20.849718,28.692884,-19.153059
What,-13.19094,25.533659,-29.817291
Filmographics,29.40956,-26.6027,-0.4961399
Spielberg,28.906452,-29.735504,-4.3749466
